,name,lng,lat,diet,period,type,length
13327,Camarasaurus,-110.687622,39.32399,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
13329,Tyrannosaurus,89.85601,42.821259,carnivorous,Late Cretaceous 68-66 million years ago,large theropod,12.0
13333,Iguanodon,9.068611,52.250278,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
13334,Iguanodon,-1.42502,50.637718,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
13341,Iguanodon,0.609229,50.860706,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
13342,Iguanodon,0.65623,50.868252,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
13343,Iguanodon,-0.161943,51.024998,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
13345,Pachycephalosaurus,-104.932098,45.769901,herbivorous,Late Cretaceous 76-65 million years ago,euornithopod,8.0
13350,Apatosaurus,-105.908501,42.152802,herbivorous,Late Jurassic 154-145 million years ago,sauropod,21.0
13351,Stegosaurus,-105.908501,42.152802,herbivorous,Late Jurassic 155-145 million years ago,armoured dinosaur,9.0
13352,Camarasaurus,-105.908501,42.152802,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
13388,Triceratops,-107.0,47.599998,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
13389,Tyrannosaurus,-107.0,47.599998,carnivorous,Late Cretaceous 68-66 million years ago,large theropod,12.0
13393,Apatosaurus,-110.687622,39.32399,herbivorous,Late Jurassic 154-145 million years ago,sauropod,21.0
13394,Ceratosaurus,-110.687622,39.32399,carnivorous,Late Jurassic 153-148 million years ago,large theropod,6.0
13397,Stegosaurus,-110.687622,39.32399,herbivorous,Late Jurassic 155-145 million years ago,armoured dinosaur,9.0
13400,Troodon,-112.199997,49.283054,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
13410,Triceratops,-112.981499,52.081001,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
13432,Carcharodontosaurus,-44.461399,-2.4781,carnivorous,Late Cretaceous 98-94 million years ago,large theropod,15.0
13433,Carcharodontosaurus,-4.665556,31.531668,carnivorous,Late Cretaceous 98-94 million years ago,large theropod,15.0
13434,Carcharodontosaurus,-4.665556,31.531668,carnivorous,Late Cretaceous 98-94 million years ago,large theropod,15.0
13435,Spinosaurus,-4.665556,31.531668,carnivorous,Late Cretaceous 95-70 million years ago,large theropod,18.0
13436,Carcharodontosaurus,-4.08,31.51,carnivorous,Late Cretaceous 98-94 million years ago,large theropod,15.0
13437,Spinosaurus,-4.08,31.51,carnivorous,Late Cretaceous 95-70 million years ago,large theropod,18.0
13439,Carcharodontosaurus,-3.861468,30.881699,carnivorous,Late Cretaceous 98-94 million years ago,large theropod,15.0
13440,Carcharodontosaurus,-3.861468,30.881699,carnivorous,Late Cretaceous 98-94 million years ago,large theropod,15.0
13441,Spinosaurus,-3.861468,30.881699,carnivorous,Late Cretaceous 95-70 million years ago,large theropod,18.0
13443,Carcharodontosaurus,-4.3,31.610001,carnivorous,Late Cretaceous 98-94 million years ago,large theropod,15.0
13444,Spinosaurus,-4.3,31.610001,carnivorous,Late Cretaceous 95-70 million years ago,large theropod,18.0
13445,Spinosaurus,10.333735,33.110786,carnivorous,Late Cretaceous 95-70 million years ago,large theropod,18.0
