,name,lng,lat,diet,period,type,length
7695,Styracosaurus,-110.243889,48.026382,herbivorous,Late Cretaceous 76-70 million years ago,ceratopsian,5.5
7696,Styracosaurus,-111.23143,50.820862,herbivorous,Late Cretaceous 76-70 million years ago,ceratopsian,5.5
7697,Styracosaurus,-111.322235,50.81678,herbivorous,Late Cretaceous 76-70 million years ago,ceratopsian,5.5
7698,Styracosaurus,-111.551857,50.746986,herbivorous,Late Cretaceous 76-70 million years ago,ceratopsian,5.5
7756,Microraptor,120.427139,43.636063,carnivorous,Early Cretaceous 125-122 million years ago,small theropod,0.8
7819,Psittacosaurus,102.733299,44.241501,herbivorous,Early Cretaceous 120-100 million years ago,ceratopsian,2.0
7868,Iguanodon,-1.954561,50.620792,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
7869,Iguanodon,-2.464766,50.66465,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
7870,Iguanodon,-2.464579,50.66798,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
7872,Megalosaurus,-2.464579,50.66798,carnivorous,Mid Jurassic 170-155 million years ago,large theropod,9.0
7892,Triceratops,-106.924721,47.583611,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
7893,Triceratops,-106.276939,47.653889,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
7950,Iguanodon,-0.800075,51.001877,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
7993,Megalosaurus,-1.429167,51.863335,carnivorous,Mid Jurassic 170-155 million years ago,large theropod,9.0
7996,Iguanodon,0.623302,50.861614,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
8012,Psittacosaurus,120.95137,41.584137,herbivorous,Early Cretaceous 120-100 million years ago,ceratopsian,2.0
8033,Velociraptor,106.723892,41.788055,carnivorous,Late Cretaceous 74-70 million years ago,small theropod,1.8
8104,Velociraptor,103.30278,44.228333,carnivorous,Late Cretaceous 74-70 million years ago,small theropod,1.8
8156,Allosaurus,-107.831299,35.428398,carnivorous,Late Jurassic 156-144 million years ago,large theropod,12.0
8245,Torosaurus,-103.159576,29.438757,herbivorous,Late Cretaceous 70-65 million years ago,ceratopsian,7.5
8399,Troodon,-112.883331,51.995834,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
8612,Psittacosaurus,101.733887,45.395,herbivorous,Early Cretaceous 120-100 million years ago,ceratopsian,2.0
8702,Troodon,-151.496674,70.089996,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
8705,Pachycephalosaurus,-104.831749,45.765656,herbivorous,Late Cretaceous 76-65 million years ago,euornithopod,8.0
8706,Pachycephalosaurus,-104.773071,45.787891,herbivorous,Late Cretaceous 76-65 million years ago,euornithopod,8.0
8707,Triceratops,-104.891388,45.730145,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
8708,Tyrannosaurus,-104.891388,45.730145,carnivorous,Late Cretaceous 68-66 million years ago,large theropod,12.0
8722,Iguanodon,-2.02547,40.547516,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
8738,Iguanodon,0.424167,40.493332,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
8741,Iguanodon,0.424167,40.493332,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
8742,Iguanodon,0.424167,40.493332,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
8745,Iguanodon,0.424167,40.493332,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
8762,Troodon,-118.510719,55.260429,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
8772,Troodon,-118.512512,55.254459,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
8809,Psittacosaurus,102.416664,42.450001,herbivorous,Early Cretaceous 120-100 million years ago,ceratopsian,2.0
